month,scene,zone,metric,value,cloud
2019-11,S2A_48NUG_20191117_1_L2A,pax_t123,stock_bright,1740.0,0.21842976816676407
2019-11,S2A_48NUG_20191117_1_L2A,pax_t4,stock_bright,2680.0,0.0
2019-11,S2A_48NUG_20191117_1_L2A,airfield,stock_bright,1426.0,0.058313184468781115
2019-11,S2A_48NUG_20191117_1_L2A,west_cargo,pairdiff,1722189.0,0.2312121212121212
2019-11,S2A_48NUG_20191117_1_L2A,east_cargo,pairdiff,,0.34319094560058416
2019-11,S2A_48NUG_20191117_1_L2A,pax_t123,pairdiff,,0.3307227742061173
2019-11,S2A_48NUG_20191117_1_L2A,pax_t4,pairdiff,1836748.0,0.06315406315406315
2019-11,S2A_48NUG_20191117_1_L2A,airfield,pairdiff,28404580.0,0.1435073247048784
2019-12,S2A_48NUG_20191227_0_L2A,west_cargo,stock_bright,1454.0,0.16737373737373737
2019-12,S2A_48NUG_20191227_0_L2A,east_cargo,stock_bright,1592.0,0.2796641109894122
2019-12,S2A_48NUG_20191227_0_L2A,pax_t123,stock_bright,1660.0,0.24850964348334306
2019-12,S2A_48NUG_20191227_0_L2A,pax_t4,stock_bright,1772.0,0.18473018473018474
2019-12,S2A_48NUG_20191227_0_L2A,airfield,stock_bright,1190.0,0.11146555052116139
2019-12,S2A_48NUG_20191227_1_L2A,west_cargo,stock_bright,1396.0,0.0
2019-12,S2A_48NUG_20191227_1_L2A,east_cargo,stock_bright,1544.0,0.0
2019-12,S2A_48NUG_20191227_1_L2A,pax_t123,stock_bright,1588.0,0.0
2019-12,S2A_48NUG_20191227_1_L2A,pax_t4,stock_bright,1730.0,0.15178815178815178
2019-12,S2A_48NUG_20191227_1_L2A,airfield,stock_bright,1146.0,0.008777454944429771
2019-12,S2A_48NUG_20191227_1_L2A,west_cargo,pairdiff,1584075.0,0.16737373737373737
2019-12,S2A_48NUG_20191227_1_L2A,east_cargo,pairdiff,1316315.0,0.2796641109894122
2019-12,S2A_48NUG_20191227_1_L2A,pax_t123,pairdiff,4416517.0,0.24850964348334306
